title,description,event_link,price,display_photo,photos,time_zone,hosts,sponsors,address_line_1,city,province_state,postal_zip_code,country,lat,lng,contact_email,contact_website,contact_primary_phone,start_date,end_date
Barrie Farmers Market - Saturdays,"Welcome to one of Ontario’s oldest and most beloved farmers’ markets! Established in 1846 and still operating on its original site, the Barrie Farmers’ Market is a year-round destination for everything local. Each Saturday, visitors can explore a vibrant selection of fresh produce, handmade goods, baked treats, and ready-to-enjoy meals, all proudly crafted by growers, makers, and artisans from Barrie and the surrounding region. It’s a true farmers’ market—where every vendor is passionate about their craft and happy to share their stories. Enjoy live music, family-friendly activities, and the warm, welcoming atmosphere that has made this market a community staple for generations. Whether you're shopping for weekly groceries, grabbing a snack, or simply soaking up the local charm, the Barrie Farmers’ Market is the place to be every Saturday morning. Come experience tradition, community, and local flavour—all in the heart of downtown Barrie.",https://www.tourismbarrie.com/festivals-events/details/2025/07/01/default-calendar/barrie-farmers-market,,https://www.tourismbarrie.com/images/default-source/2023-coe-images/farmers-market---general.png?sfvrsn=aff30213_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/farmers-market---general.png?sfvrsn=aff30213_1""]",America/Toronto,,,"Barrie City Hall, 70 Collier Street",Barrie,Ontario,,Canada,,,info@barriefarmersmarket.ca,https://barriefarmersmarket.ca/,,"July 1, 2025","November 1, 2025"
Chappell Farms Fall Festival,"Where New Family Traditions are made, and Old Traditions are celebrated each year! September 20 – October 31 Open daily 9:00 am – 6:00 pm. Attractions include Farm Animals, Sunflower Maze, Kids Maze, Tricycle Track, Sand Diggers, Magic Show (weekends only), Wagon Rides to the Pumpkin Patch, and more. Book Your School Group Tour, Corporate Team Building Day, or Customer Appreciation Day.",https://www.tourismbarrie.com/festivals-events/details/2025/09/20/default-calendar/chappell-farms-fall-festival,"$12.00 per person + tax (Weekdays), $15.00 per person + tax (Weekends & Holidays)",https://www.tourismbarrie.com/images/default-source/coe---images/chappellfall_coe.jpg?sfvrsn=4eed0b13_0,"[""https://www.tourismbarrie.com/images/default-source/coe---images/chappellfall_coe.jpg?sfvrsn=4eed0b13_0""]",America/Toronto,"[""Chappell Family""]",,617 Penetanguishene Road,Barrie,Ontario,,Canada,,,,https://chappellfarms.ca/fall-festival/,705-721-1547,"September 20, 2025","October 31, 2025"
Pumpkin Mania (Weekends),"Pumpkin Mania runs Saturdays, Sundays, and Holiday Monday, with Fridays open for Fall Fun. Soak up the fresh country air and enjoy a full day at Ranchland with over 25 activities included in admission, plus a Pick-Your-Own (PYO) free pumpkin, any size, any colour.

Families can explore the Petting Zoo, Corn Maze, Tractor Rides, the Buckaroo Bouncer, and many more attractions that will keep everyone entertained for hours. Ranchland’s 25+ self-guided and staff-led activities are all included with admission, along with the PYO pumpkin experience.

Pumpkin Mania Games take place every half hour and feature Pumpkin Tosses, Slam Dunk Pumpkin challenges, Pumpkin Bowling, Seed Spitting, and the always-popular Pumpkin Pie Eating Contests. Winners earn a Pumpkin Prize Token, redeemable at the Pumpkin Hut for treats like candy, popcorn, and fun prizes. Guests can also watch for Peek-A-Boo Pumpkins hidden around the ranch—find one and win a special prize at the Pumpkin Hut. From Pumpkin Sack Races to Pumpkin Hockey, there is fun around every corner.

Visitors can add a little extra to their day with Animal Feed ($5/bag), Pony Rides ($10/ride), Corn Cannon shots ($5 for 8), additional pumpkins (one is included per admission), the Cookhouse (open daily), and the Mercantile Gift Shop (open daily).

Come make unforgettable fall-time memories at Rounds Ranch, a family-run farm filled with outdoor adventure and seasonal fun.",https://www.tourismbarrie.com/festivals-events/details/2025/09/21/default-calendar/Pumpkin_Mania.aspx,Included in admission,https://www.tourismbarrie.com/images/default-source/coe---images/pumpkinmnaia_coe.jpg?sfvrsn=c3ee0b13_0,"[""https://www.tourismbarrie.com/images/default-source/coe---images/pumpkinmnaia_coe.jpg?sfvrsn=c3ee0b13_0""]",America/Toronto,,,"Rounds Ranch, 1922 County Road 92",Elmvale,Ontario,,Canada,,,,https://roundsranch.com/pumpkin-mania/,705-322-6293,"September 21, 2025","October 27, 2025"
Pumpkinferno at Discovery Harbour,"Pumpkinferno sails into Discovery Harbour for a hauntingly good time! Experience the phenomenon of Pumpkinferno’s NEW magical outdoor exhibits of artificial hand-carved pumpkins! Plus discover roving performers, tour the Macabre Mansion, pick up some glowing cotton candy, and much more! Discovery Harbour is transformed with more than 5,000 artificial “fun-kins”, lights, music and activities! Thursday, Friday, Saturday, Sunday bring the whole family and experience the walk-thru Pumpkinferno magic. Roving buskers will delight and entertain visitors with fire, magic and more! The Bubbling Cauldron Café will be open with glowing cotton candy, fresh made popcorn, hot chocolate, spooky snacks and more! The Swamp Snack Shack will be open with drinks and snacks. Food Truck options will be available such as Beaver tails. Check website for full details and schedule: discoveryharbour.on.ca/events/pumpkinferno Add extra fun to your Pumpkinferno evening with these experiences: Bosun’s Brig: Escape Room – Bring your team of 3-6 players and escape our historic prison! Advance ticket purchase is required, as space is limited. $24 per person (includes tax). Secrets of Séance – Step into the mysterious world of Victorian spiritualism with Secrets of Séance, an immersive new experience at Discovery Harbour. $24 per person (includes tax). Coffin Ride – An immersive experience like no other! This is a one-person experience and is $5 per person (includes tax). Wristrained! – Five minute, mini-escape room. Five go in…will all escape…intact? This is a five-person, five-minute experience and is $5 per person (includes tax).",https://discoveryharbour.on.ca/events/pumpkinferno/,Admission to Pumpkinferno is additional and required,https://www.tourismbarrie.com/images/default-source/coe---images/pumpkinferno_coe.jpg?sfvrsn=7d240d13_0,"[""https://www.tourismbarrie.com/images/default-source/coe---images/pumpkinferno_coe.jpg?sfvrsn=7d240d13_0""]",America/Toronto,,,"Discovery Harbour, 93 Jury Drive",Penetanguishene,Ontario,,Canada,44.7992,-79.9333,,https://discoveryharbour.on.ca/events/pumpkinferno/,,"October 1, 2025","November 1, 2025"
Drysdale's Haunted Harvest Village (Weekends Only),"The Halloween spirit howls at Drysdale's Haunted Harvest Village running each weekend until Halloween. Be it their first Halloween or recapturing memories of the past, Drysdale's Haunted Harvest Village provides everything for a memorable October outing. Search for the great pumpkin and The Evergreen Store will fulfill your needs for decorating your home inside and out. Enjoy a day of frightful fun, pumpkin picking and Halloween gift and décor shopping. Activities Include: Haunted Wagon Ride, Pick Pocket Magician, Obstacle Course, Pumpkin Picking, Bonfire & Marshmallow Roasting, Train Rides, Children's Zip Line, and more.",https://www.tourismbarrie.com/festivals-events/details/2025/10/04/default-calendar/halloween-festivities-at-drysdales,"$18.00 per person (Daytime), $25.00 per person (Evening)",https://www.tourismbarrie.com/images/default-source/2023-coe-images/drysdalehalloween.jpg?sfvrsn=d8970f13_0,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/drysdalehalloween.jpg?sfvrsn=d8970f13_0""]",America/Toronto,,,"Drysdale Tree Farm, 6635 Simcoe Road 56",Egbert,Ontario,,Canada,,,,https://www.drysdales.ca/seasonal-event.php?id=11,705-424-9719,"October 4, 2025","October 26, 2025"
Quayle's Fall Festival,"Celebrate the harvest season at Quayle’s Brewery! From October 9 to 31, enjoy fresh hop beers, a seasonal fall menu, and live local music every weekend. Festival Highlights: Comedy Night (ticketed), Hoptoberfest with games for all ages, Family-friendly activities, Wagon rides and pumpkin painting, Halloween Bash to close out the festival. Experience the beauty of the farm, the flavours of the harvest, and the warmth of the season at Quayle’s Fall Festival.",https://quaylesbrewery.ca/events/,,https://www.tourismbarrie.com/images/default-source/2023-coe-images/quaylesfallfestival.png?sfvrsn=ba3c0713_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/quaylesfallfestival.png?sfvrsn=ba3c0713_1""]",America/Toronto,"[""Quayle's Brewery""]",,4567 Line 12 North,Coldwater,Ontario,,Canada,,,events@quaylesbrewery.com,https://quaylesbrewery.ca/events/,705-298-0204,"October 9, 2025","October 31, 2025"
Hallowalk at Friday Harbour,"Friday Harbour brings you the best of the spooky season. Enjoy an evening of thrills and chills as the Nature Preserve transforms into a haunted Halloween trail. Travel through the woods along a lit path with spooky décor and themed zones. Ghosts, pumpkins, witches, and more come to life in the Nature Preserve as guests follow the trail starting at Friday Drive and Hickory Lane.",https://www.tourismbarrie.com/festivals-events/details/2025/10/10/default-calendar/hallowalk-at-friday-harbour,Ticketed,https://www.tourismbarrie.com/images/default-source/2023-coe-images/fridayharbour_hallowalk.jpg?sfvrsn=d3650213_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/fridayharbour_hallowalk.jpg?sfvrsn=d3650213_1""]",America/Toronto,,,Nature Preserve at Friday Harbour,Innisfil,Ontario,,Canada,,,marketing@fridayharbour.com,"https://www.fridayharbour.com/events?month=October%2001,%202025#calendar",705-812-8880,"October 10, 2025","November 1, 2025"
28th Barrie Film Festival,The 28th edition of this multifaceted festival provides a curated selection of films from all over the world with a particular emphasis on Canadian creators and their work.,https://barriefilmfestival.ca/festivals/annual-barrie-film-festival/,$12,https://www.tourismbarrie.com/images/default-source/partner-listing-box-images/barriefilmfestival_600x350.jpg?sfvrsn=8210a13_0,"[""https://www.tourismbarrie.com/images/default-source/partner-listing-box-images/barriefilmfestival_600x350.jpg?sfvrsn=8210a13_0""]",America/Toronto,,,72 Commerce Park Drive,Barrie,Ontario,,Canada,,,info@barriefilmfestival.ca,https://barriefilmfestival.ca/festivals/annual-barrie-film-festival/,,"October 18, 2025","October 26, 2025"
Hardwood Ski and Bike Ski Swap,"The Saturday (October 18th) morning entry to Swap must be reserved in advance by online registration. Those not on our list will not be admitted on Saturday (October 18th) at 9am or 10:45am. Saturday shopping times will run in blocks of 90 minutes starting at 9am, with a 15-minute break between blocks. Shoppers may only enter the swap within their allotted time block; shoppers do not need to arrive exactly at the start of their block. In an effort to ensure blocks are filled fairly, a $10 per person fee will be charged at registration. This fee can be recuperated as Ski Swap credit for purchases of at least $10 before tax (Fees may only be recuperated individually). Fee will not be refunded for no-shows, cancellations, or those who leave the Ski without a purchase from the Swap or Retail Store. Starting Saturday, October 18th at 12:15pm, through to Thursday, October 23rd the Swap is open to all visitors with no reservation required. No fee will be charged, and no discount will be applied to purchases.",https://www.tourismbarrie.com/festivals-events/details/2025/10/18/default-calendar/hardwood-ski-swap,$10 per person fee at registration,https://www.tourismbarrie.com/images/default-source/2023-coe-images/hardwoodskiandbike.jpg?sfvrsn=26e0213_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/hardwoodskiandbike.jpg?sfvrsn=26e0213_1""]",America/Toronto,,,402 Old Barrie Road West,Oro Medonte,Ontario,,Canada,,,,https://hardwoodskiandbike.ca/ski-swap/,705-487-3775,"October 18, 2025","October 23, 2025"
Speaking of Wildlife,"Join us for PA Day fun and educational live-animal presentations at the Five Points Theatre on October 24th with Speaking of Wildlife and their animal ambassadors. There are three sessions available: 10:30am: arrival, static displays and crafts 11am: A 30-minute Interactive Presentation will feature native Ontario wildlife ambassadors and information about their species, adaptations, and habitat. 12:30pm: arrival, static displays and crafts 1pm: A 30-minute Interactive Presentation will feature native Ontario wildlife ambassadors and information about their species, adaptations, and habitat. 2:30pm: arrival, static display and crafts 3pm: A 30-minute Interactive Presentation will feature native Ontario wildlife ambassadors and information about their species, adaptations, and habitat. Guests will have the opportunity to meet and greet with incredible wildlife friends like opossums, hawks, turtles, owls and more!",https://www.tourismbarrie.com/festivals-events/details/2025/10/24/default-calendar/speaking-of-wildlife,,https://www.tourismbarrie.com/images/default-source/2023-coe-images/speakingofwildlife.png?sfvrsn=a801813_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/speakingofwildlife.png?sfvrsn=a801813_1""]",America/Toronto,,,"The Five Points Theatre, 1 Dunlop Street West",Barrie,Ontario,,Canada,,,Culture.venues@barrie.ca,https://tprocob.ticketpro.ca/en/pages/1663625003,705-739-4228,"October 24, 2025","October 24, 2025"
